"2015-10-05 12:05:06",admin,"Вход в систему управления",4,-,http://shop.albico.by/admin/index.php,178.120.220.2
"2015-10-05 12:05:17",admin,"Доступ к модулю ""template"" разрешен",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/template/index.php,178.120.220.2
"2015-10-05 12:05:19",admin,"Доступ к модулю ""template"" разрешен",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/template/index.php?template_dir_id=1,178.120.220.2
"2015-10-05 12:05:21",admin,"Доступ к модулю ""template"" разрешен",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/template/index.php?template_dir_id=1,178.120.220.2
"2015-10-05 12:06:41",admin,"Доступ к модулю ""template"" разрешен",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/template/index.php?template_dir_id=1&hostcms[checked][1][14]=1,178.120.220.2
"2015-10-05 12:06:59",admin,"Доступ к модулю ""xsl"" разрешен",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/xsl/index.php?hostcms[action]=edit&xsl_dir_id=117&hostcms[checked][1][371]=1&hostcmsMode=blank,178.120.220.2
"2015-10-05 12:08:20",admin,"Доступ к модулю ""xsl"" разрешен",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/xsl/index.php?xsl_dir_id=117&hostcmsMode=blank&hostcms[checked][1][371]=1,178.120.220.2
"2015-10-05 12:09:49",admin,"Доступ к модулю ""template"" разрешен",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/template/index.php?template_dir_id=1&hostcms[checked][1][14]=1,178.120.220.2
"2015-10-05 12:09:58",admin,"Доступ к модулю ""xsl"" разрешен",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/xsl/index.php?hostcms[action]=edit&xsl_dir_id=117&hostcms[checked][1][372]=1&hostcmsMode=blank,178.120.220.2
"2015-10-05 12:12:54",admin,"Доступ к модулю ""xsl"" разрешен",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/xsl/index.php?xsl_dir_id=117&hostcmsMode=blank&hostcms[checked][1][372]=1,178.120.220.2
