"2015-09-05 00:13:55",admin,"User was logged on",4,-,http://shop.albico.by/admin/index.php,91.187.17.68
"2015-09-05 00:15:26",admin,"Access allowed to module ""shop""",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/shop/item/index.php?hostcms[action]=edit&shop_id=4&shop_group_id=0&hostcms[checked][0][0]=1&hostcmsMode=blank,91.187.17.68
"2015-09-05 00:15:28",admin,"Access allowed to module ""shop""",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/shop/item/,91.187.17.68
"2015-09-05 00:16:51",admin,"Access allowed to module ""informationsystem""",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/informationsystem/item/comment/index.php,91.187.17.68
"2015-09-05 00:19:28",admin,"Access allowed to module ""structure""",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/structure/index.php,91.187.17.68
"2015-09-05 00:26:44",admin,"Access allowed to module ""multiload""",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/multiload/index.php,91.187.17.68
"2015-09-05 00:26:51",admin,"Access allowed to module ""typograph""",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/typograph/index.php,91.187.17.68
"2015-09-05 00:27:01",admin,"Access allowed to module ""site""",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/site/index.php,91.187.17.68
"2015-09-05 00:27:02",admin,"Access allowed to module ""benchmark""",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/benchmark/index.php,91.187.17.68
"2015-09-05 00:27:03",admin,"Access allowed to module ""site""",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/site/index.php,91.187.17.68
"2015-09-05 00:27:06",admin,"Access allowed to module ""site""",1,"Демонстрационый сайт HostCMS 6 19.08.2015 15:05:13",http://shop.albico.by/admin/site/index.php,91.187.17.68
