"2015-09-21 15:02:26",undefined,"Неверные данные для аутентификации",4,-,http://albico.by/admin/index.php,37.214.239.67
"2015-09-21 15:03:21",admin,"Вход в систему управления",4,-,http://albico.by/admin/index.php,37.214.239.67
"2015-09-21 15:03:25",admin,"Вход в систему управления",4,"Демонстрационный сайт",http://albico.by/admin/index.php,37.214.239.67
